,title,price,rating,reviews,availability
11,"MSI Gaming Crosshair 15, Intel 12th Gen. i7-12700H, 40CM QHD 165Hz Gaming Laptop (16GB/1TB NVMe SSD/Windows 11 Home/Nvidia RTX 3060 6GB GDDR6/ Black/2.3Kg), B12UEZ-677IN","₹1,09,000",4.1 out of 5 stars,93 ratings,In stock
12,"HP Victus Gaming Latest 12th Gen Intel Core i7 12650H 15.6 inch(39.6 cm) FHD Gaming Laptop (8GB RAM/512GB SSD/RTX 3050 4GB Graphics/144Hz/9ms Rs Time/Win 11/MSO/BL KB/B&O/Alexa/Xbox Pass),15-fa0073TX","₹90,990",4.3 out of 5 stars,110 ratings,In stock
13,"MSI Gaming Sword 15, Intel 12th Gen. i5-12500H, 40CM FHD 144Hz Gaming Laptop (16GB/1TB NVMe SSD/Windows 11 Home/Nvidia RTX 3050 4GB GDDR6/ Black/2.6Kg), A12UC-467IN","₹83,990",4.4 out of 5 stars,78 ratings,In stock
14,"ASUS TUF Gaming F15, 15.6-inch (39.62 cms) FHD 144Hz, Intel Core i5-10300H 10th Gen, 4GB NVIDIA GeForce GTX 1650, Gaming Laptop (8GB/512GB SSD/Windows 11/Office H&S/Black/2.3 Kg), FX506LHB-HN355WS","₹58,999",4.3 out of 5 stars,936 ratings,In stock
15,"HP Victus Gaming Latest 12th Gen Intel Core i5 12450H Processor 15.6 inch(39.6 cm) FHD Gaming Laptop (8GB RAM/512GB SSD/GTX 1650 4GB Graphics/144Hz/BL KB/Win 11/MSO/B&O/Alexa/Xbox Pass), 15-fa0070TX","₹67,990",4.1 out of 5 stars,371 ratings,In stock
16,HP Victus Gaming Latest AMD Ryzen 7-5800H 16.1 inch(40.9 cm) FHD Gaming Laptop (16GB RAM/ 512GB SSD/4Gb RTX 3050 Graphics/Flicker Free/144Hz Display/B&O/Backlit Kb/Win 11/MSO/Xbox Pass) 16-e0351ax,"₹87,490",4.3 out of 5 stars,259 ratings,In stock
17,"Dell G15 5510 Intel i5-10200H 15.6 inches FHD 120Hz 250 nits AG Display Gaming Laptop (8 GB /512GB SSD/ NVIDIA GTX 1650 4GB Graphics/ Windows 10 + MSO/Dark Shadow Gray Color) D560560WIN9BE, 2.4Kg",,4.6 out of 5 stars,10 ratings,
18,"Dell G5 AMD Ryzen 5-5600H Gaming Laptop, 8GB DDR4, 512GB SSD, Win 10, NVIDIA RTX 3050 (4GB GDDR6), 15.6""(39.62cm) FHD AG 250 nits 120Hz, Backlit KB Orange, Phantom Grey (G15 5515, D560542WIN9W),2.6kg","₹74,990",4.3 out of 5 stars,129 ratings,In stock
19,"ASUS TUF Gaming F15 (2021), 15.6"" (39.62 cms) FHD 144Hz, Intel Core i5-10300H 10th Gen, GTX 1650 4GB Graphics, Gaming Laptop (8GB RAM/512GB NVMe SSD/Windows 11/Black/2.30 Kg), FX506LH-HN258W","₹57,000",4.3 out of 5 stars,936 ratings,Usually dispatched in 4 to 5 days
20,"MSI Gaming Pulse GL66, Intel 11th Gen. i7-11800H, 40CM QHD 165Hz Gaming Laptop (16GB/1TB NVMe SSD/Windows 10 Home/Nvidia RTX 3070 8GB GDDR 6/Grey/2.25Kg), 11UGK-431IN","₹1,36,900",4.3 out of 5 stars,31 ratings,Usually dispatched in 2 to 3 days
21,"HP Victus Gaming Latest AMD Ryzen 5 5600H Processor 16.1 inch(40.9 cm) FHD Gaming Laptop (8GB RAM/512GB SSD/4GB Radeon RX5500M Graphics/B&O/Backlit KB/Win 10/MS Office/Xbox Game Pass),16-E0162ax","₹62,490",4.3 out of 5 stars,"1,285 ratings",In stock
22,"Acer Nitro 5 Gaming Laptop/12th Gen Intel Core i7-12700H Processor 14core/15.6""(39.6cm) FHD 144Hz Display(16GB/512GB SSD/1TB HDD/RTX 3050Ti Graphics/Windows 11/RGB),AN515-58 + Xbox Game Pass Ultimate","₹1,04,990",4.2 out of 5 stars,23 ratings,In stock
23,"ASUS ROG Strix G15, AMD Ryzen 7 4800H, 15.6"" (39.62 cm) FHD 144Hz, 4GB RTX 3050 Ti Graphics, Gaming Laptop (8GB/512GB SSD/Windows 11/Office 2021/Gray/2.3 kg), G513IE-HN088WS","₹79,990",4.2 out of 5 stars,10 ratings,In stock
24,"Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen 15.6"" (39.62cm) FHD IPS Gaming Laptop (8GB/512GB SSD/4GB NVIDIA GTX 1650/120Hz/Win 11/Backlit/3months Game Pass/Shadow Black/2.25Kg), 82K10198IN","₹55,990",4.1 out of 5 stars,470 ratings,In stock
25,"Dell Gaming G15 5525, AMD R5-6600H, 8GB, 512GB SSD, NVIDIA RTX 3050 (4GB GDDR6), 15.6"" (39.62Cms) FHD WVA AG 120Hz 250 nits, Win 11 + MSO'21, Phantom Grey with speckles, 2.51Kgs (D560817WIN9B)","₹69,990",4.3 out of 5 stars,5 ratings,In stock
26,"MSI Katana GF66, Intel 12th Gen. i5-12450H, 40CM FHD 144Hz Gaming Laptop (8GB/512GB NVMe SSD/Windows 11 Home/Nvidia RTX3050 4GB GDDR6/Black/2.25Kg), 12UC-636IN","₹68,990",3.9 out of 5 stars,13 ratings,In stock
27,"Acer Nitro 5 Gaming Laptop Intel Core i5-11400H 11th Gen Processor (16GB/512GB SSD/ NVIDIA GeForce GTX 1650 4GB GDDR6 Graphics/Windows 11 Home/RGB),AN515-57 with 15.6""(39.6cm) FHD 144Hz IPS Display","₹62,990",4.2 out of 5 stars,465 ratings,In stock
28,"HP Pavilion AMD Ryzen 7 5800H 15.6 inches(39.6cm) FHD Gaming Laptop (16GB/512GB SSD/Windows 11 Home/NVIDIA RTX 3050 Graphics/MS Office/ Shadow Black & Ultra Violet/1.98 Kg), 15-ec2146AX","₹76,490",4.2 out of 5 stars,88 ratings,In stock
29,"Acer Aspire 5 Gaming Intel Core i5 12th gen (12-Cores) (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) A515-57G/ Gaming Laptop (15.6 inch, Steel Gray 1.8 Kg","₹57,508",4.0 out of 5 stars,347 ratings,In stock
30,"Lenovo IdeaPad Gaming 3 AMD Ryzen 7 5800H 15.6"" (39.62cm) FHD IPS 120Hz Gaming Laptop (8GB/512GB SSD/Win 11/Office 2021/NVIDIA RTX 3050 4GB/Alexa/3 Month Game Pass/Shadow Black/2.2Kg), 82K201V2IN","₹76,990",4.4 out of 5 stars,166 ratings,In stock
31,"MSI GF63 Thin, Intel 11th Gen. i7-11800H, 40CM FHD 144Hz Gaming Laptop (8GB/512GB NVMe SSD/ Windows 11 Home/NVIDIA RTX 3050 4GB GDDR6/Black/1.86Kg), 11UC-866IN","₹72,500",4.0 out of 5 stars,17 ratings,Only 1 left in stock
32,"ASUS VivoBook 15 (2021), 15.6-inch (39.62 cm) HD, Dual Core Intel Celeron N4020, Thin and Light Laptop (4GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Transparent Silver/1.8 Kg), X515MA-BR011W","₹25,990",4.0 out of 5 stars,839 ratings,In stock
33,"HP Victus Gaming Laptop 11th Gen Intel Core i5-11400H16.1 inch(40.9 cm) FHD IPS Gaming Laptop(16GB RAM/512GB SSD/NVIDIA GeForce GTX 1650 graphics/144Hz/Backlit KB/Wi11/MSO/B&O/Alexa),16-d0311TX","₹65,990",5.0 out of 5 stars,7 ratings,In stock
34,"HP 245 G8 Laptop PC with AMD Ryzen 3 3250U/8 GB DDR4 RAM/512 GB PCIe® NVMe™ SSD /AMD Radeon™ Graphics/35.6 cm (14"" inch)/DOS/Matte Black/1.5 KG/1 Year Onsite Warranty","₹25,999",4.0 out of 5 stars,3 ratings,In stock
35,"Lenovo IdeaPad 3 Intel Core i3-1115G4 11th Gen 15.6 FHD Thin and Light Laptop (8 GB/256GB SDD/Windows 11/MS Office 2021/2Yr Warranty/Arctic Grey/1.65Kg), 82H801L3IN","₹37,490",4.2 out of 5 stars,306 ratings,In stock
36,"Zebronics, ZEB-NC3300 USB Powered Laptop Cooling Pad with Dual Fan, Dual USB Port and Blue LED Lights",₹599,4.0 out of 5 stars,"7,883 ratings",In stock
37,Zinq Five Fan Cooling Pad and Laptop Stand with Dual Height Adjustment and Dual USB Port Extension (Black),"₹1,420",4.2 out of 5 stars,"27,907 ratings",In stock
38,Zinq Cool Slate Dual Fan Cooling Pad for Notebook/Laptop with Dual USB Port(Black),₹983,4.2 out of 5 stars,"27,907 ratings",In stock
39,"EvoFox Frost Laptop Cooling Pad with Silent Fans, 5 Adjustment Level, Silicon Pads, Iron mesh and Blue LED Lights, 2 USB Ports, for Laptops Upto 15.6 inches (Black)",₹849,4.4 out of 5 stars,103 ratings,In stock
